cve_mun,anio,municipio.x,feminicidios,municipio.y,tasa_fem_100k,pib_pc,log_pib_pc
21019,2022,21019,1,21019,NA,NA,NA
21019,2023,21019,0,21019,NA,NA,NA
21019,2024,21019,2,21019,NA,NA,NA
21019,2025,21019,1,21019,NA,NA,NA
21020,2015,21020,0,21020,NA,NA,NA
21020,2016,21020,0,21020,NA,NA,NA
21020,2017,21020,0,21020,NA,NA,NA
21020,2018,21020,0,21020,NA,NA,NA
21020,2019,21020,0,21020,NA,NA,NA
21020,2020,21020,0,21020,NA,NA,NA
21020,2021,21020,0,21020,NA,NA,NA
21020,2022,21020,0,21020,NA,NA,NA
21020,2023,21020,0,21020,NA,NA,NA
21020,2024,21020,0,21020,NA,NA,NA
21020,2025,21020,0,21020,NA,NA,NA
21021,2015,21021,0,21021,NA,NA,NA
21021,2016,21021,0,21021,NA,NA,NA
21021,2017,21021,0,21021,NA,NA,NA
21021,2018,21021,0,21021,NA,NA,NA
21021,2019,21021,0,21021,NA,NA,NA
21021,2020,21021,0,21021,NA,NA,NA
21021,2021,21021,0,21021,NA,NA,NA
21021,2022,21021,0,21021,NA,NA,NA
21021,2023,21021,0,21021,NA,NA,NA
21021,2024,21021,0,21021,NA,NA,NA
21021,2025,21021,0,21021,NA,NA,NA
21022,2015,21022,0,21022,NA,NA,NA
21022,2016,21022,0,21022,NA,NA,NA
21022,2017,21022,0,21022,NA,NA,NA
21022,2018,21022,0,21022,NA,NA,NA
21022,2019,21022,0,21022,NA,NA,NA
21022,2020,21022,0,21022,NA,NA,NA
21022,2021,21022,0,21022,NA,NA,NA
21022,2022,21022,0,21022,NA,NA,NA
21022,2023,21022,0,21022,NA,NA,NA
21022,2024,21022,0,21022,NA,NA,NA
21022,2025,21022,0,21022,NA,NA,NA
21023,2015,21023,0,21023,NA,NA,NA
21023,2016,21023,0,21023,NA,NA,NA
21023,2017,21023,0,21023,NA,NA,NA
21023,2018,21023,0,21023,NA,NA,NA
21023,2019,21023,0,21023,NA,NA,NA
21023,2020,21023,0,21023,NA,NA,NA
21023,2021,21023,0,21023,NA,NA,NA
21023,2022,21023,0,21023,NA,NA,NA
21023,2023,21023,0,21023,NA,NA,NA
21023,2024,21023,0,21023,NA,NA,NA
21023,2025,21023,0,21023,NA,NA,NA
21024,2015,21024,0,21024,NA,NA,NA
21024,2016,21024,0,21024,NA,NA,NA
21024,2017,21024,0,21024,NA,NA,NA
21024,2018,21024,0,21024,NA,NA,NA
21024,2019,21024,0,21024,NA,NA,NA
21024,2020,21024,0,21024,NA,NA,NA
21024,2021,21024,0,21024,NA,NA,NA
21024,2022,21024,0,21024,NA,NA,NA
21024,2023,21024,0,21024,NA,NA,NA
21024,2024,21024,0,21024,NA,NA,NA
21024,2025,21024,0,21024,NA,NA,NA
21025,2015,21025,0,21025,NA,NA,NA
21025,2016,21025,0,21025,NA,NA,NA
21025,2017,21025,0,21025,NA,NA,NA
21025,2018,21025,0,21025,NA,NA,NA
21025,2019,21025,0,21025,NA,NA,NA
21025,2020,21025,0,21025,NA,NA,NA
21025,2021,21025,0,21025,NA,NA,NA
21025,2022,21025,0,21025,NA,NA,NA
21025,2023,21025,0,21025,NA,NA,NA
21025,2024,21025,0,21025,NA,NA,NA
21025,2025,21025,0,21025,NA,NA,NA
21026,2015,21026,0,21026,NA,NA,NA
21026,2016,21026,1,21026,NA,NA,NA
21026,2017,21026,0,21026,NA,NA,NA
21026,2018,21026,0,21026,NA,NA,NA
21026,2019,21026,0,21026,NA,NA,NA
21026,2020,21026,0,21026,NA,NA,NA
21026,2021,21026,0,21026,NA,NA,NA
21026,2022,21026,0,21026,NA,NA,NA
21026,2023,21026,0,21026,NA,NA,NA
21026,2024,21026,0,21026,NA,NA,NA
21026,2025,21026,0,21026,NA,NA,NA
21027,2015,21027,0,21027,NA,NA,NA
21027,2016,21027,0,21027,NA,NA,NA
21027,2017,21027,0,21027,NA,NA,NA
21027,2018,21027,0,21027,NA,NA,NA
21027,2019,21027,0,21027,NA,NA,NA
21027,2020,21027,0,21027,NA,NA,NA
21027,2021,21027,0,21027,NA,NA,NA
21027,2022,21027,0,21027,NA,NA,NA
21027,2023,21027,0,21027,NA,NA,NA
21027,2024,21027,0,21027,NA,NA,NA
21027,2025,21027,0,21027,NA,NA,NA
21028,2015,21028,0,21028,NA,NA,NA
21028,2016,21028,0,21028,NA,NA,NA
21028,2017,21028,0,21028,NA,NA,NA
21028,2018,21028,0,21028,NA,NA,NA
21028,2019,21028,0,21028,NA,NA,NA
21028,2020,21028,0,21028,NA,NA,NA
21028,2021,21028,0,21028,NA,NA,NA
21028,2022,21028,0,21028,NA,NA,NA
21028,2023,21028,0,21028,NA,NA,NA
21028,2024,21028,0,21028,NA,NA,NA
21028,2025,21028,0,21028,NA,NA,NA
21029,2015,21029,0,21029,NA,NA,NA
21029,2016,21029,0,21029,NA,NA,NA
21029,2017,21029,0,21029,NA,NA,NA
21029,2018,21029,0,21029,NA,NA,NA
21029,2019,21029,0,21029,NA,NA,NA
21029,2020,21029,0,21029,NA,NA,NA
21029,2021,21029,0,21029,NA,NA,NA
21029,2022,21029,0,21029,NA,NA,NA
21029,2023,21029,0,21029,NA,NA,NA
21029,2024,21029,0,21029,NA,NA,NA
21029,2025,21029,0,21029,NA,NA,NA
21030,2015,21030,0,21030,NA,NA,NA
21030,2016,21030,0,21030,NA,NA,NA
21030,2017,21030,0,21030,NA,NA,NA
21030,2018,21030,0,21030,NA,NA,NA
21030,2019,21030,0,21030,NA,NA,NA
21030,2020,21030,0,21030,NA,NA,NA
21030,2021,21030,0,21030,NA,NA,NA
21030,2022,21030,0,21030,NA,NA,NA
21030,2023,21030,0,21030,NA,NA,NA
21030,2024,21030,0,21030,NA,NA,NA
21030,2025,21030,0,21030,NA,NA,NA
21031,2015,21031,0,21031,NA,NA,NA
21031,2016,21031,0,21031,NA,NA,NA
21031,2017,21031,0,21031,NA,NA,NA
21031,2018,21031,0,21031,NA,NA,NA
21031,2019,21031,0,21031,NA,NA,NA
21031,2020,21031,0,21031,NA,NA,NA
21031,2021,21031,0,21031,NA,NA,NA
21031,2022,21031,0,21031,NA,NA,NA
21031,2023,21031,0,21031,NA,NA,NA
21031,2024,21031,0,21031,NA,NA,NA
21031,2025,21031,0,21031,NA,NA,NA
21032,2015,21032,0,21032,NA,NA,NA
21032,2016,21032,0,21032,NA,NA,NA
21032,2017,21032,0,21032,NA,NA,NA
21032,2018,21032,0,21032,NA,NA,NA
21032,2019,21032,0,21032,NA,NA,NA
21032,2020,21032,0,21032,NA,NA,NA
21032,2021,21032,0,21032,NA,NA,NA
21032,2022,21032,0,21032,NA,NA,NA
21032,2023,21032,0,21032,NA,NA,NA
21032,2024,21032,0,21032,NA,NA,NA
21032,2025,21032,0,21032,NA,NA,NA
21033,2015,21033,0,21033,NA,NA,NA
21033,2016,21033,0,21033,NA,NA,NA
21033,2017,21033,0,21033,NA,NA,NA
21033,2018,21033,0,21033,NA,NA,NA
21033,2019,21033,0,21033,NA,NA,NA
21033,2020,21033,0,21033,NA,NA,NA
21033,2021,21033,0,21033,NA,NA,NA
21033,2022,21033,0,21033,NA,NA,NA
21033,2023,21033,0,21033,NA,NA,NA
21033,2024,21033,0,21033,NA,NA,NA
21033,2025,21033,0,21033,NA,NA,NA
21034,2015,21034,0,21034,NA,NA,NA
21034,2016,21034,0,21034,NA,NA,NA
21034,2017,21034,1,21034,NA,NA,NA
21034,2018,21034,0,21034,NA,NA,NA
21034,2019,21034,0,21034,NA,NA,NA
21034,2020,21034,3,21034,NA,NA,NA
21034,2021,21034,0,21034,NA,NA,NA
21034,2022,21034,0,21034,NA,NA,NA
21034,2023,21034,0,21034,NA,NA,NA
21034,2024,21034,1,21034,NA,NA,NA
21034,2025,21034,0,21034,NA,NA,NA
21035,2015,21035,0,21035,NA,NA,NA
21035,2016,21035,0,21035,NA,NA,NA
21035,2017,21035,0,21035,NA,NA,NA
21035,2018,21035,0,21035,NA,NA,NA
21035,2019,21035,0,21035,NA,NA,NA
21035,2020,21035,0,21035,NA,NA,NA
21035,2021,21035,0,21035,NA,NA,NA
21035,2022,21035,0,21035,NA,NA,NA
21035,2023,21035,0,21035,NA,NA,NA
21035,2024,21035,0,21035,NA,NA,NA
21035,2025,21035,0,21035,NA,NA,NA
21036,2015,21036,0,21036,NA,NA,NA
21036,2016,21036,0,21036,NA,NA,NA
21036,2017,21036,0,21036,NA,NA,NA
21036,2018,21036,1,21036,NA,NA,NA
21036,2019,21036,0,21036,NA,NA,NA
21036,2020,21036,0,21036,NA,NA,NA
21036,2021,21036,0,21036,NA,NA,NA
21036,2022,21036,0,21036,NA,NA,NA
21036,2023,21036,0,21036,NA,NA,NA
21036,2024,21036,0,21036,NA,NA,NA
21036,2025,21036,0,21036,NA,NA,NA
21037,2015,21037,0,21037,NA,NA,NA
21037,2016,21037,0,21037,NA,NA,NA
21037,2017,21037,0,21037,NA,NA,NA
21037,2018,21037,0,21037,NA,NA,NA
21037,2019,21037,0,21037,NA,NA,NA
21037,2020,21037,0,21037,NA,NA,NA
21037,2021,21037,0,21037,NA,NA,NA
21037,2022,21037,0,21037,NA,NA,NA
21037,2023,21037,0,21037,NA,NA,NA
21037,2024,21037,0,21037,NA,NA,NA
21037,2025,21037,0,21037,NA,NA,NA
21038,2015,21038,0,21038,NA,NA,NA
21038,2016,21038,0,21038,NA,NA,NA
21038,2017,21038,0,21038,NA,NA,NA
21038,2018,21038,0,21038,NA,NA,NA
21038,2019,21038,0,21038,NA,NA,NA
21038,2020,21038,0,21038,NA,NA,NA
21038,2021,21038,0,21038,NA,NA,NA
21038,2022,21038,0,21038,NA,NA,NA
21038,2023,21038,0,21038,NA,NA,NA
21038,2024,21038,0,21038,NA,NA,NA
21038,2025,21038,0,21038,NA,NA,NA
21039,2015,21039,0,21039,NA,NA,NA
21039,2016,21039,0,21039,NA,NA,NA
21039,2017,21039,0,21039,NA,NA,NA
21039,2018,21039,0,21039,NA,NA,NA
21039,2019,21039,0,21039,NA,NA,NA
21039,2020,21039,0,21039,NA,NA,NA
21039,2021,21039,2,21039,NA,NA,NA
21039,2022,21039,0,21039,NA,NA,NA
21039,2023,21039,0,21039,NA,NA,NA
21039,2024,21039,0,21039,NA,NA,NA
21039,2025,21039,0,21039,NA,NA,NA
21040,2015,21040,0,21040,NA,NA,NA
21040,2016,21040,0,21040,NA,NA,NA
21040,2017,21040,0,21040,NA,NA,NA
21040,2018,21040,0,21040,NA,NA,NA
21040,2019,21040,0,21040,NA,NA,NA
21040,2020,21040,0,21040,NA,NA,NA
21040,2021,21040,0,21040,NA,NA,NA
21040,2022,21040,0,21040,NA,NA,NA
21040,2023,21040,0,21040,NA,NA,NA
21040,2024,21040,0,21040,NA,NA,NA
21040,2025,21040,0,21040,NA,NA,NA
21041,2015,21041,0,21041,NA,NA,NA
21041,2016,21041,0,21041,NA,NA,NA
21041,2017,21041,0,21041,NA,NA,NA
21041,2018,21041,1,21041,NA,NA,NA
21041,2019,21041,1,21041,NA,NA,NA
21041,2020,21041,2,21041,NA,NA,NA
21041,2021,21041,0,21041,NA,NA,NA
21041,2022,21041,0,21041,NA,NA,NA
21041,2023,21041,1,21041,NA,NA,NA
21041,2024,21041,1,21041,NA,NA,NA
21041,2025,21041,1,21041,NA,NA,NA
21042,2015,21042,0,21042,NA,NA,NA
21042,2016,21042,0,21042,NA,NA,NA
21042,2017,21042,0,21042,NA,NA,NA
21042,2018,21042,0,21042,NA,NA,NA
21042,2019,21042,0,21042,NA,NA,NA
