municipio,cve_mun,anio,feminicidios,estado
21051,21051,2022,0,Puebla
21051,21051,2023,1,Puebla
21051,21051,2024,0,Puebla
21051,21051,2025,0,Puebla
21052,21052,2015,0,Puebla
21052,21052,2016,0,Puebla
21052,21052,2017,0,Puebla
21052,21052,2018,0,Puebla
21052,21052,2019,0,Puebla
21052,21052,2020,0,Puebla
21052,21052,2021,0,Puebla
21052,21052,2022,0,Puebla
21052,21052,2023,0,Puebla
21052,21052,2024,0,Puebla
21052,21052,2025,0,Puebla
21053,21053,2015,0,Puebla
21053,21053,2016,0,Puebla
21053,21053,2017,0,Puebla
21053,21053,2018,0,Puebla
21053,21053,2019,1,Puebla
21053,21053,2020,0,Puebla
21053,21053,2021,0,Puebla
21053,21053,2022,0,Puebla
21053,21053,2023,0,Puebla
21053,21053,2024,3,Puebla
21053,21053,2025,0,Puebla
21054,21054,2015,0,Puebla
21054,21054,2016,0,Puebla
21054,21054,2017,0,Puebla
21054,21054,2018,0,Puebla
21054,21054,2019,0,Puebla
21054,21054,2020,0,Puebla
21054,21054,2021,0,Puebla
21054,21054,2022,0,Puebla
21054,21054,2023,0,Puebla
21054,21054,2024,2,Puebla
21054,21054,2025,0,Puebla
21055,21055,2015,0,Puebla
21055,21055,2016,0,Puebla
21055,21055,2017,0,Puebla
21055,21055,2018,0,Puebla
21055,21055,2019,0,Puebla
21055,21055,2020,0,Puebla
21055,21055,2021,0,Puebla
21055,21055,2022,0,Puebla
21055,21055,2023,0,Puebla
21055,21055,2024,0,Puebla
21055,21055,2025,0,Puebla
21056,21056,2015,0,Puebla
21056,21056,2016,0,Puebla
21056,21056,2017,0,Puebla
21056,21056,2018,0,Puebla
21056,21056,2019,0,Puebla
21056,21056,2020,0,Puebla
21056,21056,2021,0,Puebla
21056,21056,2022,0,Puebla
21056,21056,2023,0,Puebla
21056,21056,2024,0,Puebla
21056,21056,2025,0,Puebla
21057,21057,2015,0,Puebla
21057,21057,2016,0,Puebla
21057,21057,2017,0,Puebla
21057,21057,2018,0,Puebla
21057,21057,2019,0,Puebla
21057,21057,2020,0,Puebla
21057,21057,2021,0,Puebla
21057,21057,2022,0,Puebla
21057,21057,2023,0,Puebla
21057,21057,2024,0,Puebla
21057,21057,2025,0,Puebla
21058,21058,2015,0,Puebla
21058,21058,2016,0,Puebla
21058,21058,2017,0,Puebla
21058,21058,2018,0,Puebla
21058,21058,2019,0,Puebla
21058,21058,2020,0,Puebla
21058,21058,2021,0,Puebla
21058,21058,2022,0,Puebla
21058,21058,2023,0,Puebla
21058,21058,2024,0,Puebla
21058,21058,2025,0,Puebla
21059,21059,2015,0,Puebla
21059,21059,2016,0,Puebla
21059,21059,2017,0,Puebla
21059,21059,2018,0,Puebla
21059,21059,2019,0,Puebla
21059,21059,2020,0,Puebla
21059,21059,2021,0,Puebla
21059,21059,2022,0,Puebla
21059,21059,2023,0,Puebla
21059,21059,2024,0,Puebla
21059,21059,2025,0,Puebla
21060,21060,2015,0,Puebla
21060,21060,2016,0,Puebla
21060,21060,2017,0,Puebla
21060,21060,2018,0,Puebla
21060,21060,2019,1,Puebla
21060,21060,2020,0,Puebla
21060,21060,2021,0,Puebla
21060,21060,2022,0,Puebla
21060,21060,2023,1,Puebla
21060,21060,2024,0,Puebla
21060,21060,2025,0,Puebla
21061,21061,2015,0,Puebla
21061,21061,2016,0,Puebla
21061,21061,2017,0,Puebla
21061,21061,2018,0,Puebla
21061,21061,2019,2,Puebla
21061,21061,2020,0,Puebla
21061,21061,2021,0,Puebla
21061,21061,2022,0,Puebla
21061,21061,2023,0,Puebla
21061,21061,2024,0,Puebla
21061,21061,2025,0,Puebla
21062,21062,2015,0,Puebla
21062,21062,2016,0,Puebla
21062,21062,2017,0,Puebla
21062,21062,2018,0,Puebla
21062,21062,2019,0,Puebla
21062,21062,2020,0,Puebla
21062,21062,2021,0,Puebla
21062,21062,2022,0,Puebla
21062,21062,2023,0,Puebla
21062,21062,2024,0,Puebla
21062,21062,2025,0,Puebla
21063,21063,2015,0,Puebla
21063,21063,2016,0,Puebla
21063,21063,2017,0,Puebla
21063,21063,2018,0,Puebla
21063,21063,2019,0,Puebla
21063,21063,2020,0,Puebla
21063,21063,2021,0,Puebla
21063,21063,2022,1,Puebla
21063,21063,2023,0,Puebla
21063,21063,2024,0,Puebla
21063,21063,2025,0,Puebla
21064,21064,2015,0,Puebla
21064,21064,2016,0,Puebla
21064,21064,2017,0,Puebla
21064,21064,2018,0,Puebla
21064,21064,2019,0,Puebla
21064,21064,2020,0,Puebla
21064,21064,2021,1,Puebla
21064,21064,2022,1,Puebla
21064,21064,2023,0,Puebla
21064,21064,2024,0,Puebla
21064,21064,2025,0,Puebla
21065,21065,2015,0,Puebla
21065,21065,2016,0,Puebla
21065,21065,2017,0,Puebla
21065,21065,2018,0,Puebla
21065,21065,2019,0,Puebla
21065,21065,2020,0,Puebla
21065,21065,2021,0,Puebla
21065,21065,2022,0,Puebla
21065,21065,2023,0,Puebla
21065,21065,2024,0,Puebla
21065,21065,2025,0,Puebla
21066,21066,2015,0,Puebla
21066,21066,2016,0,Puebla
21066,21066,2017,0,Puebla
21066,21066,2018,0,Puebla
21066,21066,2019,0,Puebla
21066,21066,2020,0,Puebla
21066,21066,2021,0,Puebla
21066,21066,2022,0,Puebla
21066,21066,2023,0,Puebla
21066,21066,2024,0,Puebla
21066,21066,2025,0,Puebla
21067,21067,2015,0,Puebla
21067,21067,2016,0,Puebla
21067,21067,2017,0,Puebla
21067,21067,2018,0,Puebla
21067,21067,2019,0,Puebla
21067,21067,2020,0,Puebla
21067,21067,2021,0,Puebla
21067,21067,2022,0,Puebla
21067,21067,2023,1,Puebla
21067,21067,2024,0,Puebla
21067,21067,2025,0,Puebla
21068,21068,2015,0,Puebla
21068,21068,2016,0,Puebla
21068,21068,2017,0,Puebla
21068,21068,2018,0,Puebla
21068,21068,2019,0,Puebla
21068,21068,2020,0,Puebla
21068,21068,2021,0,Puebla
21068,21068,2022,0,Puebla
21068,21068,2023,0,Puebla
21068,21068,2024,0,Puebla
21068,21068,2025,0,Puebla
21069,21069,2015,0,Puebla
21069,21069,2016,0,Puebla
21069,21069,2017,1,Puebla
21069,21069,2018,0,Puebla
21069,21069,2019,0,Puebla
21069,21069,2020,0,Puebla
21069,21069,2021,0,Puebla
21069,21069,2022,0,Puebla
21069,21069,2023,0,Puebla
21069,21069,2024,0,Puebla
21069,21069,2025,0,Puebla
21070,21070,2015,0,Puebla
21070,21070,2016,0,Puebla
21070,21070,2017,0,Puebla
21070,21070,2018,0,Puebla
21070,21070,2019,0,Puebla
