municipio,cve_mun,estado,anio,feminicidios,municipio_texto,mun_id_nombre
Atzitzihuacán,21022,Puebla,2021,0,Atzitzihuacán,21022 – Atzitzihuacán
Atzitzihuacán,21022,Puebla,2022,0,Atzitzihuacán,21022 – Atzitzihuacán
Atzitzihuacán,21022,Puebla,2023,0,Atzitzihuacán,21022 – Atzitzihuacán
Atzitzihuacán,21022,Puebla,2024,0,Atzitzihuacán,21022 – Atzitzihuacán
Atzitzihuacán,21022,Puebla,2025,0,Atzitzihuacán,21022 – Atzitzihuacán
Atzitzintla,21023,Puebla,2015,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2016,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2017,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2018,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2019,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2020,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2021,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2022,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2023,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2024,0,Atzitzintla,21023 – Atzitzintla
Atzitzintla,21023,Puebla,2025,0,Atzitzintla,21023 – Atzitzintla
Axutla,21024,Puebla,2015,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2016,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2017,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2018,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2019,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2020,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2021,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2022,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2023,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2024,0,Axutla,21024 – Axutla
Axutla,21024,Puebla,2025,0,Axutla,21024 – Axutla
Ayotoxco De Guerrero,21025,Puebla,2015,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2016,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2017,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2018,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2019,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
