municipio,cve_mun,estado,anio,feminicidios,tasa_fem_100k,municipio_texto,mun_id_nombre,pobfem_2020,pobtot_2020
Atzala,21021,Puebla,2025,0,0,Atzala,21021 – Atzala,1566,3024
Atzitzihuacã¡N,21022,Puebla,2015,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2016,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2017,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2018,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2019,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2020,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2021,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2022,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2023,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2024,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzihuacã¡N,21022,Puebla,2025,0,0,Atzitzihuacã¡N,21022 – Atzitzihuacã¡N,13664,25714
Atzitzintla,21023,Puebla,2015,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2016,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2017,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2018,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2019,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2020,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2021,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2022,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2023,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2024,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Atzitzintla,21023,Puebla,2025,0,0,Atzitzintla,21023 – Atzitzintla,9255,18113
Axutla,21024,Puebla,2015,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2016,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2017,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2018,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2019,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2020,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2021,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2022,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2023,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2024,0,0,Axutla,21024 – Axutla,1020,1967
Axutla,21024,Puebla,2025,0,0,Axutla,21024 – Axutla,1020,1967
Ayotoxco De Guerrero,21025,Puebla,2015,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2016,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2017,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2018,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2019,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2020,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2021,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2022,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2023,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2024,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Ayotoxco De Guerrero,21025,Puebla,2025,0,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero,8480,16478
Calpan,21026,Puebla,2015,0,0,Calpan,21026 – Calpan,15864,30563
Calpan,21026,Puebla,2016,1,6.303580433686334,Calpan,21026 – Calpan,15864,30563
Calpan,21026,Puebla,2017,0,0,Calpan,21026 – Calpan,15864,30563
Calpan,21026,Puebla,2018,0,0,Calpan,21026 – Calpan,15864,30563
Calpan,21026,Puebla,2019,0,0,Calpan,21026 – Calpan,15864,30563
Calpan,21026,Puebla,2020,0,0,Calpan,21026 – Calpan,15864,30563
